City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
708,Acajutla,SV,77.86,broken clouds,13.5928,-89.8275,asi es
709,Namatanai,PG,81.68,light rain,-3.6667,152.4333,Seagulls Inn Namatani
710,Balabac,PH,84.22,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
713,Ahuimanu,US,80.31,light rain,21.4447,-157.8378,Paradise Bay Resort
714,Pafos,CY,82.18,few clouds,34.7667,32.4167,Elysium Hotel
716,Kasulu,TZ,77.5,overcast clouds,-4.5767,30.1025,Nazaret lodge
719,Flinders,AU,78.08,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
725,Iralaya,HN,77.95,few clouds,15.0,-83.2333,Iglesia morava renovada
729,Luena,AO,80.26,overcast clouds,-11.7833,19.9167,Hotel Kandamba
733,Banepa,NP,77.32,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
734,Wanning,CN,83.35,moderate rain,18.8003,110.3967,Paradise Hotel
